Product Title,Seller SKU Id,Sub-category,Listing Status,MRP,Your Selling Price,Fulfillment By,System Stock count,Procurement SLA,Procurement Type,Package Length - Length of the package in cms,Package Breadth - Breadth of the package in cms,Package Height - Height of the package in cms,Package Weight - Weight of the package in Kgs,Local Delivery Charge to Customer (per qty),Zonal Delivery Charge to Customer (per qty),National Delivery Charge to Customer (per qty),Harmonized System Nomenclature - HSN,Tax Code,Country of Origin ISO code,Listing Archival
"THRONE OF GLASS 8 BOOK SET (Paperback, SARAH J.MAAS)",THRONE OF GLASS 8 BOOK SET,book,ACTIVE,8500,2232,Seller,0,1,express,23,24,12,2.1,0,0,0,49011010,GST_0,IN,NONE
"Throne of Glass Box Set (Set of 8 books) (Paperback, Sarah J. Maas)",Throne of Glass Box Set ,book,ACTIVE,9541,2678,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Totto Chan: The Little Girl at the Window (English, Paperback, Kuroyanagi Tetsuko)",Totto Chan: The Little Girl at the Window,book,ACTIVE,950,550,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"Totto-Chan (English, Paperback, Kuroyanagi Tetsuko)","Totto-Chan (English, Paperback)",book,ACTIVE,3699,380,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"Totto-Chan (Paperback, Tetsuko Kuroyanagi)","Totto-Chan (Paperback, Tetsuko Kuroyanagi) ",book,ACTIVE,599,300,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"Totto-Chan (Paperback, Tetsuko Kuroyanagi)","Totto-Chan (Paperback, Tetsuko Kuroyanagi)",book,ACTIVE,999,300,Seller,20,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"Totto-Chan (Paperback, Tetsuko Kuroyanagi)",Totto-Chan,book,ACTIVE,599,291,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"Tuesdays With Morrie (English, Paperback, Albom Mitch)",Tuesdays With Morrie,book,ACTIVE,299,295,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"Urmila (Paperback, Samar)","Urmila  (Paperback, Marathi, Samar)",book,ACTIVE,350,300,Seller,46,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Vapurza (Marathi, Paperback, Kale V.P.)",Vapurza Marathi,book,ACTIVE,299,280,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"WARD D (Paperback, FRIEDA MCFADDEN)",Ward D,book,ACTIVE,999,350,Seller,19,1,express,15,20,3,0.3,0,0,0,49011010,GST_0,IN,NONE
